lemma,count
Miete,26
Mieter,24
Vitamin,24
Vermieter,22
Wohnung,15
Akku,15
Familie,14
Prozent,13
Ernährung,13
Euro,12
Mietminderung,12
Schimmel,12
Fall,11
Lebensmittel,11
Grad,10
Gerät,10
Kind,10
Fenster,8
Akkusauger,8
Dyson,8
Vermieterin,8
Haus,7
Saugleistung,6
Mangel,6
Wintergarten,5
Vorwerk,5
Sauger,5
Gericht,5
Produkt,5
Gedanke,4
Verbraucher,4
Energie,4
Kosten,4
Heizung,4
Glas,4
Heizkörper,4
Minute,4
Luft,4
Frage,4
Ding,4
Stichprobe,4
Zubehör,4
Situation,4
Minderung,4
Monatsmieten,4
Monat,4
Kündigung,4
Statue,4
Süßigkeit,4
Abend,3
Energieberater,3
Experte,3
Haushalt,3
Flamme,3
Katze,3
Couch,3
Wand,3
Kabel,3
Modell,3
Hersteller,3
Handling,3
Vergleich,3
Beutel,3
Saugkraft,3
Stufe,3
Sache,3
Thema,3
Urteil,3
Bausubstanz,3
Problem,3
Nachricht,3
Vorbehalt,3
Gebrauchstauglichkeit,3
Richter,3
Bruttomiete,3
Lärm,3
Baulärm,3
Nährstoff,3
Geld,2
Heizen,2
Warmwassertemperatur,2
Marktcheck,2
Gasrechnung,2
Sinn,2
Kilowattstunde,2
Warmwasser,2
Durchschnittsverbrauch,2
Ordnung,2
Wärme,2
Thermostat,2
Cent,2
Wärmeübertragung,2
Raum,2
Raumtemperatur,2
Wohnzimmer,2
Heizkosten,2
Sparen,2
Gebäude,2
Luftfeuchtigkeit,2
Winter,2
Handhabung,2
Test,2
Staubsauger,2
QX6,2
Düse,2
Elektrobürste,2
Teppich,2
Saugen,2
Schmutz,2
Kobold,2
Filtertüte,2
Staubbehälter,2
Dreck,2
Vorteil,2
Bereich,2
Film,2
Stichwort,2
Weg,2
Dschungel,2
Mietrecht,2
Kampf,2
Räumungsklage,2
Griff,2
Nachbar,2
Herr,2
Einschätzung,2
Mietzahlung,2
Möglichkeit,2
Amtsgericht,2
Lage,2
Gesetz,2
Gefahr,2
Falle,2
Klage,2
Druck,2
Bausachverständigen,2
Madonnenstatue,2
Treppenhaus,2
Mieterin,2
Einzelfall,2
Aufzug,2
Warmmiete,2
Passant,2
Ergebnis,2
Freiheit,2
Regel,2
Joghurt,2
Bonbon,2
Überdosierung,2
Mineralstoffe,2
Gesundheit,2
Nährstoffbedarf,2
Experiment,2
Eis,2
Essen,2
Eltern,2
Fertigprodukte,2
Nährstoffzufuhr,2
Bundesministerium,2
Landwirtschaft,2
Unsicherheit,2
Obst,2
Gemüse,2
Anschein,2
Beispielmenü,2
Zucker,2
Gramm,2
Verbraucherzentrale,2
Fett,2
Kita,2
Regelung,2
Energiepreise,1
Sicht,1
Hilfsmittel,1
Trick,1
Hunderte,1
Geldbeutel,1
Umwelt,1
Kriegskasse,1
Win-win,1
Tochter,1
Einfamilienhaus,1
Gaspreise,1
Sorge,1
Nachzahlung,1
Partner,1
Angst,1
Ukraine-Krieg,1
Gehalt,1
140-Quadratmeter-Haus,1
60er-Jahren,1
Etage,1
Gasverbrauch,1
Maßnahme,1
Verbrauchsabrechnungen,1
Einsparpotenzial,1
Gas,1
Drittel,1
Energieverbrauchskennwert,1
2011.,1
Feuerzeugtest,1
rotlila,1
Stich,1
Beweis,1
Wärmeschutzverglasung,1
Zeichen,1
Fensterbrett,1
Klassiker,1
Fensterbank,1
Luftumwälzung,1
Zentimeter,1
Verbrauch,1
Pappkarton,1
Dämmung,1
Wärmeverlustfaktor,1
Pappe,1
Heizlüfter,1
Sechstel,1
Heizenergieverbrauchs,1
Gaspreisen,1
Jahreszeit,1
Keller,1
Gespräch,1
Übeltäter,1
Tür,1
Heizungsraum,1
Einsparpotenziale,1
Volltreffer,1
Heizkörperrücklauf,1
Vorlauf,1
Temperaturunterschied,1
Wasser,1
Moment,1
Heizenergie,1
Pumpe,1
Heizwasser,1
Leistung,1
Watt,1
Menge,1
Strom,1
Heizungsanlage,1
Sparpotenziale,1
runterstellen,1
Nachtabsenkung,1
Duschköpfe,1
Liter,1
Sparduschkopf,1
Hälfte,1
Zehn-Minuten-Dusche,1
Dreipersonenhaushalt,1
Abwasserkosten,1
Seite,1
Schimmelschutz,1
Möbel,1
Tipps,1
Abrechnung,1
Kuscheligkeit,1
Energiespartipps,1
Arbeit,1
Akkusaugern,1
Interesse,1
Unterschied,1
Freitagmorgen,1
Hengen,1
Vordermann,1
Wochenend,1
Mann,1
Kammer,1
raustragen,1
Krümel,1
Katzenhaare,1
Preisklassen,1
Freundin,1
Praxis-Check,1
Stielstaubsauger,1
Handsauger,1
Preisklasse,1
Tierhaare,1
TÜV,1
Süd,1
Lupe,1
Teil,1
Kante,1
Kleinigkeit,1
Einrastmechanismus,1
Brotkrümel,1
Papierschnipsel,1
Fliese,1
Pluspunkt,1
Schnelladegerät,1
Power,1
Wendigkeit,1
Austausch,1
Schwäche,1
Aufsaugen,1
Frau,1
Werbung,1
Set,1
Laserbürste,1
Staub,1
