ORG,count_flair_1,count_flair_2,count
AEG,6.0,6.0,12
Bosch,6.0,6.0,12
BGH,5.0,5.0,10
Grundig,3.0,3.0,6
Bundesministerium für Ernährung und Landwirtschaft,2.0,2.0,4
Dyson,2.0,2.0,4
SWR,1.0,2.0,3
Bezirksbaugenossenschaft Altwürttemberg,1.0,1.0,2
WHO,1.0,1.0,2
TÜV Süd,1.0,1.0,2
Mieterverein Stuttgart,1.0,1.0,2
Verbraucherzentrale Baden-Württemberg,1.0,0.0,1
SWR Fernsehen,1.0,0.0,1
Instituts für Kinderernährung,0.0,1.0,1
Landgericht Berlin,0.0,1.0,1
Kobold,1.0,0.0,1
Europäische Kommission,0.0,1.0,1
Europäische,1.0,0.0,1
für Kinderernährung,1.0,0.0,1
