part_1,part_2,compound
Miet,Minderung,Mietminderung
Lebens,Mittel,Lebensmittel
Akkus,Auger,Akkusauger
Saug,Leistung,Saugleistung
Winter,Garten,Wintergarten
Vor,Werk,Vorwerk
Heiz,Körper,Heizkörper
Stich,Probe,Stichprobe
Monats,Mieten,Monatsmieten
Energie,Berater,Energieberater
Saug,Kraft,Saugkraft
Bau,Substanz,Bausubstanz
Gebrauchs,Tauglichkeit,Gebrauchstauglichkeit
Brutto,Miete,Bruttomiete
Bau,Lärm,Baulärm
Warm,Wassertemperatur,Warmwassertemperatur
Markt,Check,Marktcheck
Gas,Rechnung,Gasrechnung
Kilowatt,Stunde,Kilowattstunde
Warm,Wasser,Warmwasser
Durchschnitts,Verbrauch,Durchschnittsverbrauch
Wärme,Übertragung,Wärmeübertragung
Raum,Temperatur,Raumtemperatur
Wohn,Zimmer,Wohnzimmer
Heiz,Kosten,Heizkosten
Luft,Feuchtigkeit,Luftfeuchtigkeit
Staubs,Auger,Staubsauger
Staub,Behälter,Staubbehälter
Vor,Teil,Vorteil
Stich,Wort,Stichwort
Miet,Recht,Mietrecht
Räumungs,Klage,Räumungsklage
Nach,Bar,Nachbar
Ein,Schätzung,Einschätzung
Miet,Zahlung,Mietzahlung
Amts,Gericht,Amtsgericht
Bau,Sachverständigen,Bausachverständigen
Treppen,Haus,Treppenhaus
Einzel,Fall,Einzelfall
Auf,Zug,Aufzug
Warm,Miete,Warmmiete
Pas,Sant,Passant
Bon,Bon,Bonbon
Über,Dosierung,Überdosierung
Mineral,Stoffe,Mineralstoffe
Nährstoff,Bedarf,Nährstoffbedarf
Fertig,Produkte,Fertigprodukte
Bundes,Ministerium,Bundesministerium
Land,Wirtschaft,Landwirtschaft
Beispiel,Menü,Beispielmenü
Verbraucher,Zentrale,Verbraucherzentrale
Energie,Preise,Energiepreise
Hilfs,Mittel,Hilfsmittel
Geld,Beutel,Geldbeutel
Kriegs,Kasse,Kriegskasse
Win,Win,Win-win
Einfamilien,Haus,Einfamilienhaus
Gas,Preise,Gaspreise
Nach,Zahlung,Nachzahlung
Ukraine,Krieg,Ukraine-Krieg
140-Quadratmeter,Haus,140-Quadratmeter-Haus
60Er,Jahren,60er-Jahren
Gas,Verbrauch,Gasverbrauch
Verbrauchs,Abrechnungen,Verbrauchsabrechnungen
Energieverbrauchs,Kennwert,Energieverbrauchskennwert
Feuerzeug,Test,Feuerzeugtest
Rot,Lila,rotlila
Fenster,Brett,Fensterbrett
Fenster,Bank,Fensterbank
Luft,Umwälzung,Luftumwälzung
Zenti,Meter,Zentimeter
Verbr,Auch,Verbrauch
Papp,Karton,Pappkarton
Wärmeverlust,Faktor,Wärmeverlustfaktor
Heiz,Energieverbrauchs,Heizenergieverbrauchs
Gas,Preisen,Gaspreisen
Jahres,Zeit,Jahreszeit
Übel,Täter,Übeltäter
Heizungs,Raum,Heizungsraum
Voll,Treffer,Volltreffer
Vor,Lauf,Vorlauf
Temperatur,Unterschied,Temperaturunterschied
Heiz,Energie,Heizenergie
Heiz,Wasser,Heizwasser
Heizungs,Anlage,Heizungsanlage
Spar,Potenziale,Sparpotenziale
Runter,Stellen,runterstellen
Nacht,Absenkung,Nachtabsenkung
Dusch,Köpfe,Duschköpfe
Zehn-Minuten,Dusche,Zehn-Minuten-Dusche
Abwasser,Kosten,Abwasserkosten
Schimmel,Schutz,Schimmelschutz
Energiespar,Tipps,Energiespartipps
Freitag,Morgen,Freitagmorgen
Hen,Gen,Hengen
Vorder,Mann,Vordermann
Raus,Tragen,raustragen
Katzen,Haare,Katzenhaare
Preis,Klassen,Preisklassen
Praxis,Check,Praxis-Check
Stiel,Staubsauger,Stielstaubsauger
Hands,Auger,Handsauger
Preis,Klasse,Preisklasse
Tier,Haare,Tierhaare
Brot,Krümel,Brotkrümel
Papier,Schnipsel,Papierschnipsel
Plus,Punkt,Pluspunkt
Auf,Saugen,Aufsaugen
Laser,Bürste,Laserbürste
